GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS
2021-11-13T00:00:00,2,0022100186,1610612755,PHI,Philadelphia,76ers,8-6,25,35,22,31,0,0,0,0,0,0,0,0,0,0,113
2021-11-13T00:00:00,2,0022100186,1610612754,IND,Indiana,Pacers,6-8,32,38,24,24,0,0,0,0,0,0,0,0,0,0,118
